ID	Block	Trial	TTrial	Task	CorrectKey	RT	Resp	Error	imageShown	totalEarned	LeftCorrect	RightCorrect	Response	DelayStep	totalTime	RTBASELINE	DELAY	DelayArea	blockType	LEFTREWARD	RIGHTREWARD	LeftTask	RightTask	CURRENTTASKSQUARE	LeftPos	RightPos	LeftImg	RightImg
68	1	1	1	 	0	59.2939	NaN	1	 	0	UPRIGHT 	UPRIGHT 	UPLEFT 	0	0	1	1.5	0	0	3	2	NaN	NaN	LEFT 	UPLEFT 	UPLEFT 	UPRIGHT 	UPRIGHT 
68	1	2	2	 	0	4.20202	NaN	0	 	3	UPRIGHT 	DOWNLEFT 	UPRIGHT 	0	-1.11022e-16	1	1.5	0	0	3	2	NaN	NaN	LEFT 	DOWNRIGHT 	UPLEFT 	UPRIGHT 	DOWNLEFT 
68	1	3	3	 	0	7.65035	NaN	0	 	5	UPLEFT 	DOWNRIGHT 	DOWNRIGHT 	1	0.45	1	1.95	0	0	3	2	NaN	NaN	RIGHT 	DOWNLEFT 	UPRIGHT 	UPLEFT 	DOWNRIGHT 
68	1	4	4	 	0	14.0426	NaN	0	 	8	DOWNRIGHT 	DOWNRIGHT 	DOWNRIGHT 	1	0.45	1	1.95	0	0	3	2	NaN	NaN	LEFT 	DOWNLEFT 	UPRIGHT 	DOWNRIGHT 	DOWNRIGHT 
68	1	5	5	 	0	1.26298	NaN	0	 	11	UPLEFT 	DOWNLEFT 	UPLEFT 	2	1.035	1	2.535	0	0	3	2	NaN	NaN	LEFT 	UPRIGHT 	UPRIGHT 	UPLEFT 	DOWNLEFT 
68	1	6	6	 	0	80.1411	NaN	0	 	14	DOWNRIGHT 	DOWNLEFT 	DOWNRIGHT 	3	1.7955	1	3.2955	0	0	3	2	NaN	NaN	LEFT 	UPRIGHT 	DOWNRIGHT 	DOWNRIGHT 	DOWNLEFT 
68	1	7	7	 	0	1.12914	NaN	0	 	17	DOWNLEFT 	UPLEFT 	DOWNLEFT 	4	2.78415	1	4.28415	0	0	3	2	NaN	NaN	LEFT 	DOWNRIGHT 	DOWNRIGHT 	DOWNLEFT 	UPLEFT 
68	1	8	8	 	0	2.0306	NaN	0	 	19	UPLEFT 	DOWNLEFT 	DOWNLEFT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	DOWNRIGHT 	UPRIGHT 	UPLEFT 	DOWNLEFT 
68	1	9	9	 	0	0.838891	NaN	0	 	21	UPRIGHT 	DOWNLEFT 	DOWNLEFT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	DOWNLEFT 	DOWNRIGHT 	UPRIGHT 	DOWNLEFT 
68	1	10	10	 	0	0.655472	NaN	0	 	23	DOWNLEFT 	DOWNLEFT 	DOWNLEFT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	DOWNRIGHT 	UPRIGHT 	DOWNLEFT 	DOWNLEFT 
68	1	11	11	 	0	0.863565	NaN	0	 	25	DOWNLEFT 	DOWNRIGHT 	DOWNRIGHT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	UPRIGHT 	UPLEFT 	DOWNLEFT 	DOWNRIGHT 
68	1	12	12	 	0	0.959076	NaN	0	 	27	UPLEFT 	UPRIGHT 	UPRIGHT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	UPRIGHT 	DOWNRIGHT 	UPLEFT 	UPRIGHT 
68	1	13	13	 	0	0.866694	NaN	0	 	29	DOWNRIGHT 	UPLEFT 	UPLEFT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	DOWNLEFT 	DOWNLEFT 	DOWNRIGHT 	UPLEFT 
68	1	14	14	 	0	1.00173	NaN	0	 	31	DOWNRIGHT 	DOWNRIGHT 	DOWNRIGHT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	UPLEFT 	DOWNLEFT 	DOWNRIGHT 	DOWNRIGHT 
68	1	15	15	 	0	0.947833	NaN	0	 	33	DOWNRIGHT 	DOWNRIGHT 	DOWNRIGHT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	UPRIGHT 	UPLEFT 	DOWNRIGHT 	DOWNRIGHT 
68	1	16	16	 	0	0.895986	NaN	0	 	35	DOWNRIGHT 	UPRIGHT 	UPRIGHT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	DOWNLEFT 	DOWNRIGHT 	DOWNRIGHT 	UPRIGHT 
68	1	17	17	 	0	0.87794	NaN	0	 	37	DOWNRIGHT 	DOWNRIGHT 	DOWNRIGHT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	UPLEFT 	DOWNLEFT 	DOWNRIGHT 	DOWNRIGHT 
68	1	18	18	 	0	0.748696	NaN	0	 	39	UPRIGHT 	DOWNLEFT 	DOWNLEFT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	DOWNRIGHT 	UPRIGHT 	UPRIGHT 	DOWNLEFT 
68	1	19	19	 	0	0.720089	NaN	0	 	41	UPRIGHT 	DOWNRIGHT 	DOWNRIGHT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	DOWNLEFT 	UPRIGHT 	UPRIGHT 	DOWNRIGHT 
68	1	20	20	 	0	0.693875	NaN	0	 	43	UPRIGHT 	DOWNLEFT 	DOWNLEFT 	5	4.0694	1	5.5694	0	0	3	2	NaN	NaN	RIGHT 	DOWNLEFT 	UPRIGHT 	UPRIGHT 	DOWNLEFT 
68	1	21	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNLEFT 	 	5	0	1	5.5694	0	0	3	2	NaN	NaN	 	DOWNRIGHT 	UPLEFT 	DOWNLEFT 	DOWNLEFT 
68	1	22	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	DOWNLEFT 	 	0	0	1	1.5	0	0	3	2	NaN	NaN	 	DOWNRIGHT 	DOWNRIGHT 	UPLEFT 	DOWNLEFT 
68	1	23	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	UPLEFT 	 	0	0	1	1.5	0	0	3	2	NaN	NaN	 	DOWNRIGHT 	DOWNLEFT 	DOWNLEFT 	UPLEFT 
